Date,Open,High,Low,Close,Adj Close,Volume,ticker
1973-02-21,0.0,22.625,22.125,22.375,5.2272844314575195,4300,PNW
1973-02-22,0.0,22.5,22.125,22.5,5.256485939025879,4000,PNW
1973-02-23,0.0,22.5,22.0,22.0,5.139675140380859,3500,PNW
1973-02-26,0.0,22.125,21.75,21.875,5.110474109649658,2200,PNW
1973-02-27,0.0,21.875,21.5,21.5,5.022863388061523,6400,PNW
1973-02-28,0.0,21.75,21.5,21.625,5.052068710327148,2200,PNW
1973-03-01,0.0,21.875,21.5,21.625,5.052068710327148,6200,PNW
1973-03-02,0.0,21.875,21.625,21.75,5.081268310546875,3100,PNW
1973-03-05,0.0,22.0,20.5,20.75,4.847647190093994,27800,PNW
1973-03-06,0.0,21.125,20.875,20.875,4.8768486976623535,7900,PNW
1973-03-07,0.0,21.375,21.0,21.25,4.9644575119018555,4400,PNW
1973-03-08,0.0,21.625,21.0,21.25,4.9644575119018555,14200,PNW
1973-03-09,0.0,21.375,20.875,20.875,4.8768486976623535,3600,PNW
1973-03-12,0.0,20.875,20.5,20.5,4.789244651794434,4800,PNW
1973-03-13,0.0,21.375,20.5,21.125,4.935255527496338,8400,PNW
1973-03-14,0.0,21.25,20.75,21.0,4.9060516357421875,9500,PNW
1973-03-15,0.0,21.375,21.0,21.0,4.9060516357421875,6600,PNW
1973-03-16,0.0,21.375,20.75,20.75,4.847647190093994,5900,PNW
1973-03-19,0.0,21.0,20.625,20.625,4.818445205688477,5900,PNW
1973-03-20,0.0,20.5,20.25,20.375,4.760043621063232,6300,PNW
1973-03-21,0.0,20.375,20.25,20.375,4.760043621063232,5700,PNW
1973-03-22,0.0,20.375,19.875,19.875,4.64323091506958,7000,PNW
1973-03-23,0.0,20.0,19.625,20.0,4.672431945800781,10400,PNW
1973-03-26,0.0,20.25,20.0,20.25,4.730837345123291,5700,PNW
1973-03-27,0.0,20.375,20.0,20.25,4.730837345123291,8300,PNW
1973-03-28,0.0,20.5,20.125,20.25,4.730837345123291,3500,PNW
1973-03-29,0.0,20.625,20.0,20.5,4.789244651794434,34400,PNW
1973-03-30,0.0,20.75,20.5,20.625,4.818445205688477,3400,PNW
1973-04-02,0.0,20.75,19.875,19.875,4.64323091506958,19000,PNW
1973-04-03,0.0,19.875,19.75,19.875,4.64323091506958,7700,PNW
1973-04-04,0.0,19.875,19.5,19.5,4.555620193481445,17200,PNW
1973-04-05,0.0,19.625,19.25,19.625,4.584824085235596,7400,PNW
1973-04-06,0.0,19.625,19.25,19.375,4.526416778564453,9300,PNW
1973-04-09,0.0,20.125,19.5,20.0,4.672431945800781,5500,PNW
1973-04-10,0.0,20.125,19.625,19.875,4.64323091506958,22500,PNW
1973-04-11,0.0,20.0,19.875,19.875,4.64323091506958,10800,PNW
1973-04-12,0.0,20.125,19.75,20.0,4.672431945800781,22900,PNW
1973-04-13,0.0,20.625,20.25,20.5,4.789244651794434,7600,PNW
1973-04-16,0.0,20.75,20.375,20.625,4.818445205688477,3000,PNW
1973-04-17,0.0,21.0,20.75,20.75,4.847647190093994,1900,PNW
1973-04-18,0.0,21.125,20.875,21.125,4.935255527496338,1800,PNW
1973-04-19,0.0,22.25,21.125,21.875,5.110474109649658,7000,PNW
1973-04-23,0.0,22.5,22.0,22.125,5.168876647949219,18900,PNW
1973-04-24,0.0,22.25,21.875,21.875,5.110474109649658,5400,PNW
1973-04-25,0.0,21.375,20.875,21.25,5.03115701675415,3800,PNW
1973-04-26,0.0,21.375,21.125,21.25,5.03115701675415,3100,PNW
1973-04-27,0.0,21.5,21.125,21.25,5.03115701675415,3800,PNW
1973-04-30,0.0,21.5,21.0,21.0,4.971967697143555,5700,PNW
1973-05-01,0.0,21.5,21.125,21.125,5.00156307220459,6900,PNW
1973-05-02,0.0,21.5,21.0,21.5,5.0903496742248535,5000,PNW
1973-05-03,0.0,21.75,21.25,21.75,5.149540424346924,3800,PNW
1973-05-04,0.0,22.625,22.0,22.375,5.297513484954834,6800,PNW
1973-05-07,0.0,22.5,21.75,21.75,5.149540424346924,5100,PNW
1973-05-08,0.0,21.75,21.5,21.75,5.149540424346924,8300,PNW
1973-05-09,0.0,21.875,21.625,21.625,5.119942665100098,2500,PNW
1973-05-10,0.0,21.875,21.625,21.75,5.149540424346924,13700,PNW
1973-05-11,0.0,21.75,21.625,21.75,5.149540424346924,6700,PNW
1973-05-14,0.0,21.375,20.75,21.125,5.00156307220459,10900,PNW
1973-05-15,0.0,21.25,20.75,21.0,4.971967697143555,9800,PNW
1973-05-16,0.0,21.375,20.75,21.0,4.971967697143555,4400,PNW
1973-05-17,0.0,21.0,20.875,20.875,4.942373275756836,2000,PNW
1973-05-18,0.0,20.75,20.25,20.25,4.794397354125977,8700,PNW
1973-05-21,0.0,20.5,20.125,20.125,4.764803886413574,3900,PNW
1973-05-22,0.0,20.5,20.125,20.25,4.794397354125977,2100,PNW
1973-05-23,0.0,20.75,20.125,20.5,4.853587627410889,6500,PNW
1973-05-24,0.0,21.0,20.75,21.0,4.971967697143555,4600,PNW
1973-05-25,0.0,21.5,21.0,21.25,5.03115701675415,4400,PNW
1973-05-29,0.0,21.375,21.125,21.125,5.00156307220459,2500,PNW
1973-05-30,0.0,21.375,21.125,21.25,5.03115701675415,6800,PNW
1973-05-31,0.0,21.375,21.125,21.125,5.00156307220459,2700,PNW
1973-06-01,0.0,21.375,21.125,21.125,5.00156307220459,4500,PNW
1973-06-04,0.0,21.125,21.125,21.125,5.00156307220459,2600,PNW
1973-06-05,0.0,21.375,21.125,21.375,5.060754299163818,2700,PNW
1973-06-06,0.0,21.625,21.125,21.25,5.03115701675415,3200,PNW
1973-06-07,0.0,21.5,21.125,21.125,5.00156307220459,2700,PNW
1973-06-08,0.0,21.75,21.5,21.625,5.119942665100098,2900,PNW
1973-06-11,0.0,22.125,21.75,21.75,5.149540424346924,12500,PNW
1973-06-12,0.0,21.875,21.5,21.5,5.0903496742248535,4000,PNW
1973-06-13,0.0,21.75,21.625,21.75,5.149540424346924,1500,PNW
1973-06-14,0.0,21.625,21.0,21.375,5.060754299163818,9400,PNW
1973-06-15,0.0,21.125,20.75,21.0,4.971967697143555,2000,PNW
1973-06-18,0.0,20.75,20.375,20.375,4.823991298675537,5500,PNW
1973-06-19,0.0,20.625,20.375,20.625,4.883182525634766,1800,PNW
1973-06-20,0.0,20.75,20.375,20.375,4.823991298675537,1500,PNW
1973-06-21,0.0,20.625,20.25,20.375,4.823991298675537,3300,PNW
1973-06-22,0.0,20.875,20.5,20.875,4.942373275756836,3500,PNW
1973-06-25,0.0,21.0,20.5,20.625,4.883182525634766,4900,PNW
1973-06-26,0.0,21.25,20.625,21.25,5.03115701675415,3600,PNW
1973-06-27,0.0,21.25,20.875,21.0,4.971967697143555,4400,PNW
1973-06-28,0.0,20.875,20.75,20.75,4.912779808044434,3000,PNW
1973-06-29,0.0,21.375,20.75,21.25,5.03115701675415,3600,PNW
1973-07-02,0.0,21.5,21.25,21.25,5.03115701675415,1000,PNW
1973-07-03,0.0,21.5,21.125,21.5,5.0903496742248535,1300,PNW
1973-07-05,0.0,21.0,20.25,20.25,4.794397354125977,12500,PNW
1973-07-06,0.0,20.5,20.0,20.125,4.764803886413574,3200,PNW
1973-07-09,0.0,20.25,19.875,20.25,4.794397354125977,5200,PNW
1973-07-10,0.0,20.75,20.0,20.125,4.764803886413574,6900,PNW
1973-07-11,0.0,20.125,20.0,20.0,4.735204696655273,10400,PNW
1973-07-12,0.0,20.75,20.25,20.75,4.912779808044434,5900,PNW
1973-07-13,0.0,20.625,19.875,20.625,4.883182525634766,14300,PNW
1973-07-16,0.0,20.75,20.0,20.125,4.764803886413574,8200,PNW
1973-07-17,0.0,20.5,20.125,20.125,4.764803886413574,3600,PNW
1973-07-18,0.0,20.5,20.125,20.5,4.853587627410889,3800,PNW
1973-07-19,0.0,20.875,20.375,20.5,4.853587627410889,3300,PNW
1973-07-20,0.0,20.875,20.0,20.25,4.794397354125977,6400,PNW
1973-07-23,0.0,21.25,20.25,21.125,5.00156307220459,8200,PNW
1973-07-24,0.0,20.875,20.375,20.5,4.853587627410889,5600,PNW
1973-07-25,0.0,20.625,20.25,20.5,4.853587627410889,8200,PNW
1973-07-26,0.0,20.5,20.125,20.125,4.764803886413574,5200,PNW
1973-07-27,0.0,20.5,20.125,20.5,4.853587627410889,5200,PNW
1973-07-30,0.0,20.375,20.125,20.375,4.823991298675537,3400,PNW
1973-07-31,0.0,20.5,20.125,20.25,4.794397354125977,4700,PNW
1973-08-01,0.0,20.125,19.75,20.0,4.735204696655273,3200,PNW
1973-08-02,0.0,20.0,19.75,20.0,4.735204696655273,3400,PNW
1973-08-03,0.0,20.0,19.75,20.0,4.735204696655273,3100,PNW
1973-08-06,0.0,20.0,19.5,19.5,4.616826057434082,5500,PNW
1973-08-07,0.0,19.75,19.375,19.375,4.587231636047363,3100,PNW
1973-08-08,0.0,19.5,19.125,19.125,4.528041362762451,5500,PNW
1973-08-09,0.0,19.375,19.125,19.375,4.587231636047363,2500,PNW
1973-08-10,0.0,19.5,19.125,19.25,4.55763578414917,1100,PNW
1973-08-13,0.0,19.625,19.125,19.125,4.528041362762451,2500,PNW
1973-08-14,0.0,19.125,18.875,19.0,4.498446464538574,4100,PNW
1973-08-15,0.0,19.0,18.625,18.75,4.439258575439453,6400,PNW
1973-08-16,0.0,19.0,18.625,18.75,4.439258575439453,3600,PNW
1973-08-17,0.0,19.125,18.625,18.75,4.439258575439453,3900,PNW
